HandID,Board,Winner,WinType,Pot,h_Hole,cfr_Hole,h_Bucket,cfr_Bucket,h_Action,cfr_Action,h_Delta,cfr_Delta
1,T♠5♦Q♠3♦3♥,h_bot,showdown,40,5♠K♥,2♦5♣,K5o,52o,call,call,20,-20
2,6♥5♣A♠5♥9♠,cfr_bot,showdown,80,Q♦T♥,2♦A♥,QTo,A2o,call,raise,0,0
3,4♦A♠2♦T♠Q♦,cfr_bot,showdown,160,5♠6♠,5♣8♠,65s,85o,call,raise,-60,60
4,,h_bot,fold,110,J♥4♠,3♠7♦,J4o,73o,call,fold,-50,50
5,,h_bot,fold,200,8♦9♦,2♥5♦,98s,52o,call,call,50,-50
6,,h_bot,fold,200,8♦3♥,A♦Q♣,83o,AQo,call,call,150,-150
7,,h_bot,fold,200,9♠8♦,3♥A♥,98o,A3s,call,call,250,-250
8,,h_bot,fold,110,K♦5♦,7♦J♣,K5s,J7o,call,fold,260,-260
9,,h_bot,fold,240,7♥Q♦,K♣4♣,Q7o,K4s,call,raise,400,-400
10,,h_bot,fold,280,K♠6♥,2♥3♦,K6o,32o,call,call,540,-540
11,,h_bot,fold,280,J♦5♥,T♠J♣,J5o,JTo,call,fold,680,-680
12,,h_bot,fold,280,A♠7♦,T♣9♠,A7o,T9o,call,call,820,-820
13,,h_bot,fold,280,7♦7♠,K♥6♥,77,K6s,call,call,960,-960
14,,h_bot,fold,180,6♣9♣,9♦K♠,96s,K9o,call,call,1000,-1000
15,,h_bot,fold,140,Q♠4♦,J♥8♠,Q4o,J8o,call,raise,1000,-1000
16,,h_bot,fold,0,K♥T♥,2♣2♠,KTs,22,call,call,1000,-1000
17,,h_bot,fold,10,T♣5♥,3♣5♦,T5o,53o,call,raise,1000,-1000
18,,h_bot,fold,40,K♠T♠,9♦5♦,KTs,95s,raise,fold,1000,-1000
19,,h_bot,fold,40,5♠5♣,8♠K♦,55,K8o,call,call,1000,-1000
20,,h_bot,fold,40,9♦K♠,A♥A♣,K9o,AA,call,call,1000,-1000
21,,h_bot,fold,40,Q♠6♥,3♠3♣,Q6o,33,call,fold,1000,-1000
22,,h_bot,fold,40,8♠K♦,8♥2♠,K8o,82o,call,call,1000,-1000
23,,h_bot,fold,40,Q♦3♦,6♣7♣,Q3s,76s,call,fold,1000,-1000
24,,h_bot,fold,40,9♣3♦,8♥4♦,93o,84o,call,fold,1000,-1000
25,,h_bot,fold,80,9♥K♦,8♠8♦,K9o,88,raise,call,1000,-1000
26,,h_bot,fold,80,5♥2♦,6♠K♠,52o,K6s,call,call,1000,-1000
27,,h_bot,fold,80,7♣6♣,8♥4♥,76s,84s,call,call,1000,-1000
28,,h_bot,fold,80,5♠6♣,4♣9♣,65o,94s,call,fold,1000,-1000
29,,h_bot,fold,120,8♠3♥,5♠A♠,83o,A5s,raise,fold,1000,-1000
30,,h_bot,fold,120,A♣A♦,7♦K♣,AA,K7o,call,raise,1000,-1000
31,,h_bot,fold,10,3♣4♥,5♠4♣,43o,54o,call,call,1000,-1000
32,,h_bot,fold,0,3♠5♥,7♠4♦,53o,74o,call,call,1000,-1000
33,,h_bot,fold,10,J♣3♥,8♣Q♥,J3o,Q8o,call,call,1000,-1000
34,,h_bot,fold,0,K♦A♥,3♦5♠,AKo,53o,call,call,1000,-1000
35,,h_bot,fold,10,8♠Q♠,6♣2♦,Q8s,62o,call,call,1000,-1000
36,,h_bot,fold,0,2♥K♦,Q♣T♣,K2o,QTs,call,call,1000,-1000
37,,h_bot,fold,10,4♠T♦,8♣Q♥,T4o,Q8o,call,raise,1000,-1000
38,,h_bot,fold,40,K♠T♠,J♦Q♦,KTs,QJs,raise,fold,1000,-1000
39,,h_bot,fold,40,4♠9♣,3♠6♠,94o,63s,call,fold,1000,-1000
40,,h_bot,fold,40,A♥J♥,4♦6♠,AJs,64o,call,call,1000,-1000
41,,h_bot,fold,40,J♥T♦,4♣9♣,JTo,94s,call,fold,1000,-1000
42,,h_bot,fold,40,9♦7♠,3♠8♥,97o,83o,call,call,1000,-1000
43,,h_bot,fold,80,Q♦8♦,2♣A♣,Q8s,A2s,raise,call,1000,-1000
44,,h_bot,fold,80,8♣5♦,2♦A♦,85o,A2s,call,call,1000,-1000
45,,h_bot,fold,80,Q♦5♣,3♥2♣,Q5o,32o,call,fold,1000,-1000
46,,h_bot,fold,120,J♥T♦,5♥Q♣,JTo,Q5o,raise,call,1000,-1000
47,,h_bot,fold,120,6♥6♣,5♥6♠,66,65o,call,call,1000,-1000
48,,h_bot,fold,120,J♥2♥,K♥K♠,J2s,KK,call,fold,1000,-1000
49,,h_bot,fold,120,A♦5♠,4♥3♣,A5o,43o,call,call,1000,-1000
50,,h_bot,fold,120,6♥9♣,7♠2♥,96o,72o,call,call,1000,-1000
51,,h_bot,fold,160,5♠3♣,4♣J♦,53o,J4o,raise,fold,1000,-1000
52,,h_bot,fold,160,2♦6♦,J♥2♥,62s,J2s,call,fold,1000,-1000
53,,h_bot,fold,200,A♠5♥,6♣4♥,A5o,64o,raise,call,1000,-1000
54,,h_bot,fold,200,4♦4♥,5♥Q♥,44,Q5s,call,fold,1000,-1000
55,,h_bot,fold,240,J♦3♥,Q♥3♠,J3o,Q3o,raise,fold,1000,-1000
56,,h_bot,fold,280,6♠5♣,8♦6♥,65o,86o,raise,fold,1000,-1000
57,,h_bot,fold,280,T♥J♥,A♣K♦,JTs,AKo,call,fold,1000,-1000
58,,h_bot,fold,280,6♣7♥,2♠9♣,76o,92o,call,call,1000,-1000
59,,h_bot,fold,280,7♥3♠,6♦T♣,73o,T6o,call,call,1000,-1000
60,,h_bot,fold,280,Q♥2♦,6♥4♠,Q2o,64o,call,raise,1000,-1000
61,,h_bot,fold,50,9♦4♥,A♣K♦,94o,AKo,raise,call,1000,-1000
62,,h_bot,fold,90,6♣6♠,A♣9♦,66,A9o,raise,call,1000,-1000
63,,h_bot,fold,90,8♠4♦,6♥K♦,84o,K6o,call,call,1000,-1000
64,,h_bot,fold,130,4♦4♠,6♣8♥,44,86o,raise,call,1000,-1000
65,,h_bot,fold,170,8♥Q♥,3♥4♠,Q8s,43o,raise,fold,1000,-1000
66,,h_bot,fold,210,8♣K♦,5♠T♠,K8o,T5s,raise,call,1000,-1000
67,9♥7♦J♠A♠3♣,h_bot,showdown,10,J♣4♠,5♠8♣,J4o,85o,fold,fold,1000,-1000
68,2♣8♠6♥Q♥5♦,h_bot,showdown,250,5♥5♠,3♠7♣,55,73o,raise,fold,1000,-1000
69,K♣2♦9♥2♠5♥,cfr_bot,showdown,250,5♣7♦,8♣K♠,75o,K8o,call,call,750,-750
70,J♣3♦J♦A♠8♠,h_bot,showdown,500,K♠J♥,4♣9♣,KJo,94s,call,raise,1000,-1000
71,J♥7♠T♥T♣A♣,h_bot,showdown,250,9♣A♦,2♣4♥,A9o,42o,call,call,1000,-1000
72,Q♦Q♠8♥9♣K♠,h_bot,showdown,290,9♠8♠,T♥2♦,98s,T2o,raise,call,1000,-1000
73,T♦J♠5♦3♦A♦,h_bot,showdown,290,Q♣K♠,J♣6♥,KQo,J6o,call,call,1000,-1000
74,9♥6♣4♦6♦K♣,h_bot,showdown,290,T♣K♥,5♦5♣,KTo,55,call,fold,1000,-1000
75,8♥K♦7♠Q♣J♠,cfr_bot,showdown,330,4♣9♠,K♣7♣,94o,K7s,raise,fold,670,-670
76,7♣8♥4♥T♣A♥,cfr_bot,showdown,660,J♠6♦,A♣9♦,J6o,A9o,call,call,340,-340
77,9♦A♠7♠9♠T♥,cfr_bot,showdown,740,3♠J♦,9♥T♣,J3o,T9o,raise,call,-30,30
78,J♥8♥T♠5♣8♠,h_bot,showdown,740,3♠3♣,K♠2♥,33,K2o,call,call,340,-340
79,K♦K♣9♥Q♠Q♣,h_bot,showdown,740,Q♦A♠,5♥3♦,AQo,53o,call,call,710,-710
80,8♦7♠5♥J♣2♥,h_bot,showdown,380,7♣T♥,A♠T♦,T7o,ATo,call,fold,720,-720
81,T♠A♠5♦K♥7♥,h_bot,showdown,690,4♥4♠,4♣J♣,44,J4s,raise,call,1000,-1000
82,9♦A♣T♦K♦K♠,h_bot,showdown,450,Q♣2♠,7♦6♥,Q2o,76o,raise,raise,1000,-1000
83,T♠4♠8♥8♣T♣,h_bot,showdown,10,J♣Q♦,9♣5♣,QJo,95s,call,call,1000,-1000
84,3♥A♠J♥4♠T♥,h_bot,showdown,0,3♠T♦,4♦6♥,T3o,64o,call,call,1000,-1000
