HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
1,K♣2♦Q♦5♠9♦,r_bot,showdown,40,J♥J♠,T♥Q♠,JJ,QTo,call,call,-20,20
2,A♦3♥T♥5♥7♣,h_bot,showdown,70,2♣7♥,3♠6♦,72o,63o,call,raise,30,-30
3,2♦5♠9♣5♥4♥,r_bot,showdown,100,T♦Q♠,6♠K♣,QTo,K6o,call,call,-20,20
4,,h_bot,fold,110,7♦2♥,A♠Q♥,72o,AQo,raise,fold,-10,10
5,,h_bot,fold,200,2♥K♣,5♥8♥,K2o,85s,call,call,90,-90
6,,h_bot,fold,200,7♣5♥,8♠K♥,75o,K8o,call,call,190,-190
7,,h_bot,fold,240,K♦4♦,T♣5♣,K4s,T5s,call,raise,330,-330
8,,h_bot,fold,150,8♠5♠,2♦3♦,85s,32s,call,fold,340,-340
9,,h_bot,fold,330,2♦7♥,4♦8♥,72o,84o,raise,fold,480,-480
10,,h_bot,fold,380,9♦8♠,5♠T♣,98o,T5o,call,call,670,-670
11,,h_bot,fold,480,5♥8♥,9♥T♦,85s,T9o,raise,call,910,-910
12,,h_bot,fold,330,J♠K♥,J♦6♣,KJo,J6o,call,call,1000,-1000
13,,h_bot,fold,240,J♣8♥,Q♣3♦,J8o,Q3o,call,call,1000,-1000
14,,h_bot,fold,240,4♠7♦,9♦J♣,74o,J9o,call,call,1000,-1000
15,,h_bot,fold,240,J♣Q♥,J♥2♥,QJo,J2s,call,call,1000,-1000
16,,h_bot,fold,240,9♣7♠,K♠5♣,97o,K5o,call,call,1000,-1000
17,,h_bot,fold,240,6♣A♥,Q♥8♥,A6o,Q8s,call,call,1000,-1000
18,,h_bot,fold,240,5♠J♦,T♥5♣,J5o,T5o,call,fold,1000,-1000
19,,h_bot,fold,240,6♣6♦,T♣2♦,66,T2o,call,fold,1000,-1000
20,,h_bot,fold,240,6♣5♠,6♠Q♣,65o,Q6o,call,call,1000,-1000
21,,h_bot,fold,240,J♥7♠,T♦2♣,J7o,T2o,call,call,1000,-1000
22,,h_bot,fold,240,2♥J♣,5♥3♥,J2o,53s,call,call,1000,-1000
